PRODUCT_ID,Name,PRODUCT_Description,Expiry_Date,Price,Man_ID
200101,Budweiser Magnum Beer,"
Budweiser is a medium-bodied, flavorful, crisp American-style lager. It is brewed with the best barley malt and a blend of premium hop varieties. It contains less than 8% alcohol.",11/02/25, $2.35 ,5004512
200102,Coors Light Beer,Coors Light Beer is an American style light lager. This light beer has a 4.2% ABV. Full of Rocky Mountain refreshment has a light body with clean malt notes and low bitterness.,24/11/23, $2.67 ,7435542
200103,Corona Extra Beer,"Corona Extra Mexican Lager Beer is an even-keeled imported beer. Brewed in Mexico since 1925, this canned beer's flavor is refreshing, crisp, and well-balanced between hops and malt.",13/06/23, $2.99 ,8797451
200104,Dos Equis Beer,"Dos Equis Especia Lager is made with roasted malts, choice hops, a unique strain of yeast and purified water for a distinctively delicious taste. Sight: Warm, deep golden color. ",19/03/23, $2.70 ,6006723
200201,Red Label Scotch Whiskey,"Johnnie Walker Red Label is crackling with spice and bursting with vibrant, smoky flavours. It's a blend that combines light whiskies from Scotland's East Coast.",24/12/24, $21.99 ,5004512
200202,Ballentine's Finest Whiskey,"Colour : Light gold. Nose : Soft, elegant, heather honey aromas with a hint of spice. Taste : A balance of subtle, sweet flavours like milk chocolate, red apple and vanilla.",06/02/23, $18.99 ,7435542
200203,Glenfiddich Whiskey,"Glenfiddich 12 Year Old single malt Scotch whisky is the ideal spirit for lovers of everyday luxury, this single malt develops into butterscotch, cream, malt and subtle oak flavors.",16/07/25, $32.99 ,8797451
200204,Jim Beam Bourbon Whiskey,"With a slightly spicy, oaky vanilla aroma, this medium-bodied bourbon brings mellow hints of caramel, vanilla, grain and oak flavor with a lightly sweet, toasted oak finish.",14/04/26, $27.99 ,6006723
200301,SKYY Vodka,"SKYY vodka is an American vodka spirit. SKYY Vodka is 40% ABV or 80 proof, except in Australia and New Zealand where it is 37.5% ABV / 75 Proof and in South Africa where it is 43% ABV / 86 Proof.",03/02/23, $17.99 ,5004512
200302,Deep Eddy Ruby Red Vodka,"Deep Eddy Ruby Red Vodka is infused with real Ruby Red Grapefruit juice and lightly sweetened with real cane sugar for a deliciously tart, perfect for day-drinking with family and friends.",14/10/23, $15.99 ,7435542
200303,Smirnoff Vanilla Vodka,"Smirnoff Vanilla is  Pairs best with root beer, coffee, or ginger ale for a flavorful easy cocktail. Smirnoff Vanilla is Kosher Certified and gluten free.",18/10/24, $14.99 ,8797451
